journey,conversion_flg,counts
viewed_favourite_store > Kids Menu > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,10
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Menu Extras > added_item > CheckoutViewController,true,10
viewed_favourite_store > Menu > added_item > Appetizers > Sauces & Sides > added_item > CheckoutViewController,true,10
added_item > Drinks > added_item > Drinks > added_item > CheckoutActivity,true,10
Quick_Reorder > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,10
Appetizers > added_item > Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,10
viewed_favourite_store > Appetizers > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,10
Menu > added_item > Appetizers > added_item > Sauces & Sides > added_item > CheckoutViewController,true,10
Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,10
Menu > added_item > Menu > added_item > Dessert > CheckoutViewController,true,10
viewed_favourite_store > Appetizers > Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,10
added_item > Kids Menu > added_item > Kids Menu > added_item > CheckoutActivity,true,10
Menu > added_item > Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,10
viewed_favourite_store > Sauces & Sides > added_item > Sauces & Sides > added_item > CheckoutViewController,true,10
viewed_favourite_store > Menu > viewed_favourite_store > Menu > added_item > Menu > added_item > CheckoutViewController,true,10
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Sauces & Sides > added_item > CheckoutViewController,true,10
Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,10
Appetizers > added_item > Menu > added_item > Dessert > added_item > CheckoutViewController,true,10
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,9
viewed_favourite_store > Drinks > added_item > Menu > added_item > CheckoutViewController,true,9
Menu > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,9
Quick_Reorder > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,9
Appetizers > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,9
viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > Menu > added_item > CheckoutViewController,true,9
added_item > Menu > CheckoutViewController,true,9
viewed_favourite_store > Appetizers > added_item > Dessert > CheckoutViewController,true,9
Menu > added_item > Appetizers > Sauces & Sides > added_item > CheckoutActivity,true,9
Sauces & Sides > added_item > CheckoutViewController,true,9
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Dessert > added_item > CheckoutViewController,true,9
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Sauces & Sides > added_item > CheckoutViewController,true,9
Drinks > Menu > added_item > CheckoutViewController,true,9
Menu > added_item > Drinks > CheckoutActivity,true,9
viewed_favourite_store > added_item > Sauces & Sides > CheckoutViewController,true,9
